"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 13, 2022","119.41","119.74","121.24","119.09","8.30M","-1.88%"
"Jun 10, 2022","121.70","119.75","122.74","119.34","8.42M","0.56%"
"Jun 09, 2022","121.02","122.00","124.35","120.99","6.63M","-1.05%"
"Jun 08, 2022","122.30","122.35","123.91","121.95","7.51M","-0.87%"
"Jun 07, 2022","123.37","121.24","123.49","120.88","15.90M","-1.20%"
"Jun 06, 2022","124.87","125.82","126.30","124.58","6.62M","-0.36%"
"Jun 03, 2022","125.32","126.67","127.42","125.09","6.10M","-1.72%"
"Jun 02, 2022","127.51","125.57","127.53","124.33","7.74M","1.64%"
"Jun 01, 2022","125.45","128.50","128.92","124.68","9.51M","-2.47%"
"May 31, 2022","128.63","127.46","129.90","127.42","12.30M","0.12%"
"May 27, 2022","128.48","125.49","128.62","125.31","8.43M","1.97%"
"May 26, 2022","126.00","125.30","126.40","124.40","9.40M","2.13%"
"May 25, 2022","123.37","124.00","124.67","122.60","9.04M","-0.61%"
"May 24, 2022","124.13","121.21","124.55","121.08","11.53M","1.25%"
"May 23, 2022","122.60","119.92","123.77","119.86","14.56M","2.85%"
"May 20, 2022","119.20","119.64","120.84","117.27","16.45M","0.11%"
"May 19, 2022","119.07","120.87","121.79","118.60","23.67M","-2.74%"
"May 18, 2022","122.43","128.03","128.27","121.53","34.75M","-6.79%"
"May 17, 2022","131.35","136.43","137.44","130.64","44.31M","-11.38%"
"May 16, 2022","148.21","149.38","149.73","146.46","7.15M","0.11%"
"May 13, 2022","148.05","147.71","148.38","146.14","6.65M","0.39%"
"May 12, 2022","147.48","147.86","150.15","146.52","8.41M","-0.09%"
"May 11, 2022","147.62","149.40","150.75","146.91","9.29M","-1.05%"
"May 10, 2022","149.18","151.43","152.29","148.56","8.29M","-1.41%"
"May 09, 2022","151.31","148.47","153.10","148.19","9.40M","1.17%"
"May 06, 2022","149.56","151.71","153.95","148.27","11.42M","-2.08%"
"May 05, 2022","152.74","153.64","153.83","151.40","7.74M","-1.22%"
"May 04, 2022","154.62","152.03","154.82","151.51","6.67M","1.38%"
"May 03, 2022","152.51","152.43","154.27","151.78","5.98M","0.35%"
"May 02, 2022","151.98","154.96","154.99","150.32","6.67M","-0.66%"
"Apr 29, 2022","152.99","155.81","156.22","152.71","7.03M","-2.06%"
"Apr 28, 2022","156.21","155.23","156.98","154.10","4.99M","1.28%"
"Apr 27, 2022","154.24","155.53","156.20","154.02","5.83M","-0.68%"
"Apr 26, 2022","155.30","156.37","158.13","155.20","6.53M","-1.04%"
"Apr 25, 2022","156.94","156.37","157.47","154.35","6.02M","0.05%"
"Apr 22, 2022","156.86","160.25","160.36","156.66","7.02M","-1.88%"
"Apr 21, 2022","159.87","159.92","160.77","159.07","6.06M","0.15%"
"Apr 20, 2022","159.63","158.35","160.35","158.29","6.61M","1.26%"
"Apr 19, 2022","157.65","156.67","157.95","156.04","5.28M","1.14%"
"Apr 18, 2022","155.88","156.75","157.98","155.21","4.89M","-0.76%"
"Apr 14, 2022","157.08","157.11","158.29","156.43","7.45M","-0.09%"
"Apr 13, 2022","157.22","153.45","157.79","153.35","9.76M","2.60%"
"Apr 12, 2022","153.23","154.24","155.40","152.55","8.92M","-0.69%"
"Apr 11, 2022","154.29","156.97","158.24","153.63","8.24M","-1.98%"
"Apr 08, 2022","157.41","156.91","158.41","156.21","7.76M","0.56%"
"Apr 07, 2022","156.54","155.10","157.54","154.44","9.03M","1.00%"
"Apr 06, 2022","154.99","151.02","155.42","150.50","9.34M","2.32%"
"Apr 05, 2022","151.47","150.88","153.33","150.88","6.22M","0.28%"
"Apr 04, 2022","151.04","150.91","153.20","150.08","8.45M","0.02%"
"Apr 01, 2022","151.01","149.66","151.27","148.84","6.98M","1.40%"
"Mar 31, 2022","148.92","148.79","150.54","148.18","9.05M","-0.63%"
"Mar 30, 2022","149.87","147.13","150.18","147.04","8.33M","1.79%"
"Mar 29, 2022","147.23","146.60","148.10","146.25","6.64M","0.84%"
"Mar 28, 2022","146.00","143.50","146.06","143.30","6.70M","1.78%"
"Mar 25, 2022","143.45","143.45","143.93","142.26","4.70M","0.43%"
"Mar 24, 2022","142.83","142.39","143.91","141.88","4.48M","0.62%"
"Mar 23, 2022","141.95","143.14","143.73","141.52","6.54M","-1.29%"
"Mar 22, 2022","143.80","144.61","144.97","142.98","6.75M","-0.30%"
"Mar 21, 2022","144.23","145.43","147.29","143.62","7.12M","-0.83%"
"Mar 18, 2022","145.44","145.18","145.57","144.11","10.41M","0.30%"
"Mar 17, 2022","145.01","144.45","145.30","142.65","6.34M","-0.23%"
"Mar 16, 2022","145.35","145.39","146.94","143.70","8.21M","-0.29%"
"Mar 15, 2022","145.78","144.53","146.15","143.85","7.62M","1.20%"
"Mar 14, 2022","144.05","142.02","144.85","141.99","7.55M","1.39%"
"Mar 11, 2022","142.07","142.30","144.05","141.88","6.39M","-0.39%"
"Mar 10, 2022","142.63","139.49","143.00","139.01","9.17M","2.27%"
"Mar 09, 2022","139.46","140.00","140.24","138.14","7.37M","0.52%"
"Mar 08, 2022","138.74","141.50","142.46","138.58","9.44M","-2.07%"
"Mar 07, 2022","141.67","141.30","143.63","140.45","15.29M","-0.81%"
"Mar 04, 2022","142.82","137.81","142.94","137.59","11.86M","2.53%"
"Mar 03, 2022","139.29","137.29","140.47","136.55","9.96M","2.30%"
"Mar 02, 2022","136.16","135.66","136.83","135.18","7.95M","0.13%"
"Mar 01, 2022","135.99","135.87","137.89","135.02","8.01M","0.61%"
"Feb 28, 2022","135.16","135.00","136.07","133.77","8.76M","-0.89%"
"Feb 25, 2022","136.38","134.81","136.78","134.09","8.33M","1.38%"
"Feb 24, 2022","134.53","133.91","135.01","132.01","10.57M","-0.39%"
"Feb 23, 2022","135.05","136.86","137.19","134.84","7.01M","-1.03%"
"Feb 22, 2022","136.45","137.77","138.24","135.94","8.46M","-1.12%"
"Feb 18, 2022","137.99","138.10","139.59","137.16","10.37M","-0.64%"
"Feb 17, 2022","138.88","134.00","139.47","133.78","17.94M","4.01%"
"Feb 16, 2022","133.53","134.33","134.88","132.70","9.50M","-0.63%"
"Feb 15, 2022","134.37","134.74","135.67","133.79","7.28M","0.31%"
"Feb 14, 2022","133.95","135.33","135.96","132.71","9.79M","-1.02%"
"Feb 11, 2022","135.33","136.82","137.18","134.16","7.91M","-0.55%"
"Feb 10, 2022","136.08","136.55","137.01","135.46","9.27M","-1.17%"
"Feb 09, 2022","137.69","138.50","138.79","137.47","7.16M","-0.22%"
"Feb 08, 2022","137.99","138.32","139.24","137.51","6.49M","0.02%"
"Feb 07, 2022","137.96","140.06","140.07","137.61","6.67M","-0.98%"
"Feb 04, 2022","139.33","140.89","141.00","138.35","7.35M","-1.18%"
"Feb 03, 2022","140.99","140.26","141.99","139.77","6.91M","0.10%"
"Feb 02, 2022","140.85","141.00","141.64","140.15","6.05M","-0.04%"
"Feb 01, 2022","140.91","139.21","141.15","138.99","6.77M","0.79%"
"Jan 31, 2022","139.81","137.09","140.04","136.70","6.73M","1.67%"
"Jan 28, 2022","137.52","136.00","137.57","133.95","8.38M","1.24%"
"Jan 27, 2022","135.84","136.92","139.08","135.37","9.26M","0.07%"
"Jan 26, 2022","135.75","137.34","138.79","135.16","8.73M","-1.02%"
"Jan 25, 2022","137.15","139.99","140.37","136.81","9.83M","-2.18%"
"Jan 24, 2022","140.20","139.07","140.53","137.31","9.57M","0.01%"
"Jan 21, 2022","140.19","141.22","142.26","140.06","9.17M","-0.73%"
"Jan 20, 2022","141.22","142.35","144.46","141.07","7.46M","-1.89%"
"Jan 19, 2022","143.94","142.54","144.99","141.92","7.56M","1.00%"
"Jan 18, 2022","142.52","144.41","144.70","142.13","7.04M","-1.75%"
"Jan 14, 2022","145.06","144.22","146.63","144.22","8.96M","-0.28%"
"Jan 13, 2022","145.47","143.43","145.68","143.11","8.08M","1.42%"
"Jan 12, 2022","143.44","143.68","143.96","143.00","6.32M","-0.53%"
"Jan 11, 2022","144.20","144.21","144.62","143.18","7.22M","-0.28%"
"Jan 10, 2022","144.61","145.44","145.59","143.12","7.58M","-0.19%"
"Jan 07, 2022","144.89","143.50","145.36","142.96","6.57M","0.95%"
"Jan 06, 2022","143.52","143.62","144.64","142.40","7.28M","-0.28%"
"Jan 05, 2022","143.92","142.85","145.95","142.74","11.81M","1.35%"
"Jan 04, 2022","142.00","144.04","145.14","141.76","11.31M","-1.83%"
"Jan 03, 2022","144.65","144.00","144.79","143.01","6.90M","-0.03%"
"Dec 31, 2021","144.69","143.20","145.04","142.92","5.98M","1.06%"
"Dec 30, 2021","143.17","143.26","143.70","142.48","4.98M","0.32%"
"Dec 29, 2021","142.71","142.66","143.53","142.32","4.35M","-0.05%"
"Dec 28, 2021","142.78","140.60","142.97","140.60","5.26M","1.44%"
"Dec 27, 2021","140.76","139.60","140.87","139.57","5.35M","0.91%"
"Dec 23, 2021","139.49","139.80","140.16","138.85","5.86M","-0.22%"
"Dec 22, 2021","139.80","139.90","139.99","138.53","5.68M","0.13%"
"Dec 21, 2021","139.62","138.90","139.86","138.01","8.21M","0.30%"
"Dec 20, 2021","139.20","138.12","139.75","137.60","10.34M","0.32%"
"Dec 17, 2021","138.75","142.75","143.95","138.39","26.24M","-3.20%"
"Dec 16, 2021","143.34","145.77","146.53","142.89","13.02M","-1.67%"
"Dec 15, 2021","145.77","145.21","146.47","143.40","11.16M","0.57%"
"Dec 14, 2021","144.94","143.30","145.28","142.15","15.57M","0.95%"
"Dec 13, 2021","143.57","140.24","143.75","140.01","18.01M","1.80%"
"Dec 10, 2021","141.03","138.34","141.30","137.57","12.86M","1.83%"
"Dec 09, 2021","138.50","136.63","138.57","135.71","10.78M","0.98%"
"Dec 08, 2021","137.15","138.06","138.50","136.01","11.50M","-1.01%"
"Dec 07, 2021","138.55","139.60","139.83","138.09","12.58M","-0.32%"
"Dec 06, 2021","139.00","137.56","139.36","137.10","10.86M","1.08%"
"Dec 03, 2021","137.51","135.86","137.88","135.29","14.71M","1.51%"
"Dec 02, 2021","135.47","137.63","138.44","135.24","13.27M","-1.22%"
"Dec 01, 2021","137.14","140.51","140.71","137.04","12.23M","-2.48%"
"Nov 30, 2021","140.63","141.48","142.50","140.01","21.61M","-1.40%"
"Nov 29, 2021","142.63","145.00","145.25","142.23","11.01M","-1.57%"
"Nov 26, 2021","144.90","146.44","147.88","144.42","7.01M","-1.12%"
"Nov 24, 2021","146.54","145.73","147.06","145.64","6.03M","0.50%"
"Nov 23, 2021","145.81","144.25","145.98","143.25","9.97M","0.71%"
"Nov 22, 2021","144.78","142.66","145.36","142.00","9.72M","1.68%"
"Nov 19, 2021","142.39","143.62","144.00","141.94","9.38M","-0.54%"
"Nov 18, 2021","143.16","142.14","143.29","140.86","8.14M","0.86%"
"Nov 17, 2021","141.94","143.16","144.72","141.82","11.04M","-0.86%"
"Nov 16, 2021","143.17","145.10","146.68","142.30","24.66M","-2.55%"
"Nov 15, 2021","146.91","148.15","148.45","146.40","9.63M","-0.58%"
"Nov 12, 2021","147.76","149.00","149.24","147.54","6.10M","-0.50%"
"Nov 11, 2021","148.50","148.77","148.99","148.19","4.53M","0.04%"
"Nov 10, 2021","148.44","148.73","149.62","147.98","5.60M","-0.90%"
"Nov 09, 2021","149.79","149.52","149.87","148.87","5.00M","0.35%"
"Nov 08, 2021","149.27","150.22","150.51","148.73","5.12M","-0.64%"
"Nov 05, 2021","150.23","152.00","152.00","149.62","5.03M","-0.69%"
"Nov 04, 2021","151.28","150.18","151.85","149.83","5.05M","0.73%"
"Nov 03, 2021","150.18","149.60","150.29","149.03","4.74M","0.31%"
"Nov 02, 2021","149.72","149.97","150.18","149.28","4.55M","-0.05%"
"Nov 01, 2021","149.79","149.98","150.75","149.35","4.18M","0.25%"
"Oct 29, 2021","149.42","147.91","150.10","147.56","7.34M","0.65%"
"Oct 28, 2021","148.45","148.34","148.98","147.71","4.20M","0.62%"
"Oct 27, 2021","147.53","148.96","149.02","147.39","4.86M","-0.82%"
"Oct 26, 2021","148.75","150.00","150.55","148.46","5.81M","-0.87%"
"Oct 25, 2021","150.06","148.78","150.52","148.01","6.43M","1.16%"
"Oct 22, 2021","148.34","147.10","149.69","147.10","7.07M","1.04%"
"Oct 21, 2021","146.81","146.58","146.91","145.81","4.65M","0.55%"
"Oct 20, 2021","146.00","144.89","146.49","144.89","5.82M","0.91%"
"Oct 19, 2021","144.69","144.63","145.61","143.66","11.15M","2.12%"
"Oct 18, 2021","141.68","140.00","142.01","139.83","6.63M","0.80%"
"Oct 15, 2021","140.55","140.62","141.10","139.96","6.91M","0.49%"
"Oct 14, 2021","139.87","138.50","140.07","138.50","6.60M","1.08%"
"Oct 13, 2021","138.37","139.50","140.01","138.13","5.98M","-0.72%"
"Oct 12, 2021","139.38","139.34","140.41","139.07","5.26M","-0.11%"
"Oct 11, 2021","139.53","139.52","140.78","139.44","4.35M","-0.09%"
"Oct 08, 2021","139.66","139.66","140.09","139.01","4.62M","0.30%"
"Oct 07, 2021","139.24","138.78","140.70","138.76","7.02M","1.18%"
"Oct 06, 2021","137.62","136.24","137.79","136.13","6.46M","0.73%"
"Oct 05, 2021","136.62","135.95","137.71","135.90","6.87M","0.66%"
"Oct 04, 2021","135.73","137.09","138.23","134.71","9.99M","-0.96%"
"Oct 01, 2021","137.05","139.26","139.63","135.92","10.00M","-1.67%"
"Sep 30, 2021","139.38","140.64","141.73","139.25","7.49M","-0.75%"
"Sep 29, 2021","140.44","140.65","141.83","140.32","7.13M","-0.04%"
"Sep 28, 2021","140.50","141.88","142.07","139.99","6.86M","-1.23%"
"Sep 27, 2021","142.25","142.87","143.55","141.84","7.08M","-0.64%"
"Sep 24, 2021","143.17","142.50","143.69","142.49","4.45M","0.28%"
"Sep 23, 2021","142.77","143.22","143.63","142.45","5.20M","0.06%"
"Sep 22, 2021","142.69","143.47","143.60","142.29","5.01M","-0.23%"
"Sep 21, 2021","143.02","142.70","144.58","142.67","5.81M","0.20%"
"Sep 20, 2021","142.74","143.50","145.18","141.62","8.35M","-1.37%"
"Sep 17, 2021","144.73","144.14","146.16","144.02","24.35M","-0.21%"
"Sep 16, 2021","145.03","144.44","145.31","143.69","6.14M","0.33%"
"Sep 15, 2021","144.55","144.07","144.75","143.79","4.95M","0.17%"
"Sep 14, 2021","144.30","145.48","145.88","143.92","5.51M","-0.52%"
"Sep 13, 2021","145.06","146.52","147.15","144.64","6.51M","-0.57%"
"Sep 10, 2021","145.89","147.20","147.24","145.43","5.26M","-0.36%"
"Sep 09, 2021","146.42","147.46","147.61","145.84","7.44M","-0.71%"
"Sep 08, 2021","147.46","146.95","148.32","146.73","6.50M","0.13%"
"Sep 07, 2021","147.27","148.97","149.17","147.06","8.45M","-1.33%"
"Sep 03, 2021","149.25","148.20","149.65","147.90","5.74M","0.46%"
"Sep 02, 2021","148.56","148.12","148.79","147.69","6.67M","0.53%"
"Sep 01, 2021","147.78","147.56","147.93","146.57","6.35M","-0.22%"
"Aug 31, 2021","148.10","147.99","148.44","147.24","8.36M","0.27%"
"Aug 30, 2021","147.70","146.42","148.00","146.02","5.48M","0.81%"
"Aug 27, 2021","146.52","147.51","147.69","146.18","7.70M","-0.56%"
"Aug 26, 2021","147.35","147.47","148.27","146.67","7.82M","-1.08%"
"Aug 25, 2021","148.96","148.41","149.28","148.02","7.31M","0.04%"
"Aug 24, 2021","148.90","150.50","150.50","148.70","6.28M","-1.03%"
"Aug 23, 2021","150.45","151.53","151.79","150.41","5.39M","-0.66%"
"Aug 20, 2021","151.45","150.48","151.72","149.75","6.47M","0.89%"
"Aug 19, 2021","150.11","148.33","150.66","148.00","7.54M","0.68%"
"Aug 18, 2021","149.10","150.55","152.57","149.02","9.40M","-1.06%"
"Aug 17, 2021","150.70","150.40","152.50","149.10","16.98M","-0.03%"
"Aug 16, 2021","150.75","149.68","151.73","149.04","15.98M","0.82%"
"Aug 13, 2021","149.53","149.38","150.36","149.16","5.33M","0.32%"
"Aug 12, 2021","149.06","149.00","150.21","148.81","6.09M","-0.63%"
"Aug 11, 2021","150.01","149.51","151.58","149.16","13.82M","0.89%"
"Aug 10, 2021","148.68","146.97","148.95","146.25","12.75M","2.13%"
"Aug 09, 2021","145.58","145.91","146.48","145.40","5.27M","0.24%"
"Aug 06, 2021","145.23","146.21","146.47","144.95","6.42M","-0.18%"
"Aug 05, 2021","145.49","144.23","145.54","143.99","9.00M","1.86%"
"Aug 04, 2021","142.84","143.38","143.94","142.74","5.10M","-0.68%"
"Aug 03, 2021","143.82","142.44","143.90","142.36","6.31M","1.13%"
"Aug 02, 2021","142.22","142.83","142.87","141.67","6.65M","-0.23%"
"Jul 30, 2021","142.55","141.20","142.96","141.20","5.44M","0.22%"
"Jul 29, 2021","142.24","142.64","142.85","142.02","3.69M","0.13%"
"Jul 28, 2021","142.06","142.48","143.25","141.66","4.69M","-0.41%"
"Jul 27, 2021","142.64","143.00","143.00","141.96","5.13M","0.01%"
"Jul 26, 2021","142.63","142.36","143.86","141.46","6.17M","0.14%"
"Jul 23, 2021","142.43","141.52","142.72","141.01","5.32M","0.82%"
"Jul 22, 2021","141.27","141.13","142.12","140.80","4.34M","0.07%"
"Jul 21, 2021","141.17","142.50","142.54","140.71","6.20M","-0.49%"
"Jul 20, 2021","141.87","140.97","142.47","140.78","6.34M","0.45%"
"Jul 19, 2021","141.23","141.41","142.98","139.77","9.13M","-0.23%"
"Jul 16, 2021","141.56","141.70","142.13","140.95","6.03M","-0.07%"
"Jul 15, 2021","141.66","142.00","142.64","141.09","5.99M","0.08%"
"Jul 14, 2021","141.55","140.71","141.80","139.83","6.27M","0.69%"
"Jul 13, 2021","140.58","139.99","141.18","139.94","6.32M","0.38%"
"Jul 12, 2021","140.05","140.69","140.79","139.33","6.50M","-0.18%"
"Jul 09, 2021","140.30","140.41","140.84","139.93","5.06M","0.51%"
"Jul 08, 2021","139.59","138.34","140.65","138.22","7.09M","-0.09%"
"Jul 07, 2021","139.71","139.76","141.19","139.36","8.54M","-0.16%"
"Jul 06, 2021","139.94","139.90","140.75","139.51","6.09M","-0.12%"
"Jul 02, 2021","140.11","139.35","141.08","139.35","8.76M","0.57%"
"Jul 01, 2021","139.32","140.41","141.25","139.01","8.78M","-1.21%"
"Jun 30, 2021","141.02","139.56","142.58","138.69","15.17M","2.71%"
"Jun 29, 2021","137.30","137.90","138.47","137.23","11.99M","-0.58%"
"Jun 28, 2021","138.10","138.04","138.64","136.60","5.18M","-0.31%"
"Jun 25, 2021","138.53","137.13","138.86","136.92","9.55M","1.18%"
"Jun 24, 2021","136.91","136.17","137.24","136.10","7.81M","0.70%"
"Jun 23, 2021","135.96","136.50","136.99","135.93","6.46M","-0.78%"
"Jun 22, 2021","137.03","136.23","137.72","136.23","6.37M","0.46%"
"Jun 21, 2021","136.40","135.66","136.75","135.35","6.93M","0.91%"
"Jun 18, 2021","135.17","135.44","136.39","134.40","14.94M","-1.85%"
"Jun 17, 2021","137.72","137.00","138.35","136.71","6.45M","0.42%"
"Jun 16, 2021","137.15","139.85","140.04","136.97","9.60M","-2.04%"
"Jun 15, 2021","140.00","140.84","140.91","139.66","6.44M","-0.40%"
"Jun 14, 2021","140.56","140.93","140.93","140.03","5.05M","-0.13%"
"Jun 11, 2021","140.75","140.23","140.85","139.86","8.41M","0.62%"
"Jun 10, 2021","139.88","139.08","140.19","139.08","5.46M","0.58%"
"Jun 09, 2021","139.08","139.34","140.01","139.03","5.70M","-0.54%"
"Jun 08, 2021","139.83","140.51","140.90","139.81","6.71M","-0.76%"
"Jun 07, 2021","140.90","141.85","141.97","140.39","5.54M","-0.67%"
"Jun 04, 2021","141.85","141.46","142.29","141.25","4.55M","0.18%"
"Jun 03, 2021","141.60","141.39","141.85","140.75","6.12M","0.18%"
"Jun 02, 2021","141.35","141.39","141.71","140.09","7.77M","-0.22%"
"Jun 01, 2021","141.66","142.21","142.80","141.27","6.92M","-0.26%"
"May 28, 2021","142.03","141.93","142.45","141.64","7.06M","0.24%"
"May 27, 2021","141.69","143.35","143.68","141.69","18.86M","-0.34%"
"May 26, 2021","142.17","142.39","142.88","141.76","6.43M","-0.12%"
"May 25, 2021","142.34","141.80","142.64","141.07","7.17M","0.41%"
"May 24, 2021","141.76","141.76","142.42","141.36","6.32M","0.01%"
"May 21, 2021","141.75","142.52","143.08","141.60","7.64M","-0.47%"
"May 20, 2021","142.42","141.50","142.87","140.70","10.18M","0.35%"
"May 19, 2021","141.92","140.71","143.72","140.50","11.62M","0.01%"
"May 18, 2021","141.91","143.51","144.58","141.21","19.39M","2.17%"
"May 17, 2021","138.89","140.00","140.40","138.77","6.56M","-0.45%"
"May 14, 2021","139.52","138.81","140.24","138.43","5.36M","0.93%"
"May 13, 2021","138.24","136.23","138.98","135.76","7.16M","1.69%"
"May 12, 2021","135.94","138.87","138.98","135.91","8.67M","-2.59%"
"May 11, 2021","139.55","140.87","140.87","138.32","8.82M","-0.90%"
"May 10, 2021","140.82","140.45","142.08","140.31","8.77M","0.44%"
"May 07, 2021","140.20","141.63","141.72","139.32","7.80M","-0.60%"
"May 06, 2021","141.05","140.00","141.36","139.45","5.43M","0.32%"
"May 05, 2021","140.60","140.71","141.20","140.25","6.12M","-0.09%"
"May 04, 2021","140.72","141.54","142.03","140.10","6.36M","-0.99%"
"May 03, 2021","142.12","139.68","142.74","139.68","9.05M","1.58%"
"Apr 30, 2021","139.91","139.71","139.99","139.11","6.56M","0.20%"
"Apr 29, 2021","139.63","137.90","140.00","137.90","6.53M","1.26%"
"Apr 28, 2021","137.89","138.35","138.59","137.87","4.76M","-0.35%"
"Apr 27, 2021","138.38","138.00","138.95","137.55","5.38M","0.34%"
"Apr 26, 2021","137.91","139.91","140.00","137.64","7.62M","-1.42%"
"Apr 23, 2021","139.90","139.10","140.34","139.03","7.66M","0.16%"
"Apr 22, 2021","139.67","141.08","141.45","139.42","6.57M","-1.08%"
"Apr 21, 2021","141.20","140.77","141.70","140.53","5.78M","0.29%"
"Apr 20, 2021","140.79","139.42","141.77","138.82","8.15M","0.77%"
"Apr 19, 2021","139.71","140.29","140.57","139.61","6.43M","-0.64%"
"Apr 16, 2021","140.61","140.89","140.96","139.71","8.83M","0.32%"
"Apr 15, 2021","140.16","139.40","140.47","139.20","7.24M","0.60%"
"Apr 14, 2021","139.32","139.12","139.46","138.42","7.31M","-0.04%"
"Apr 13, 2021","139.37","139.80","140.00","138.87","5.80M","-0.31%"
"Apr 12, 2021","139.80","140.07","140.38","139.34","6.24M","0.01%"
"Apr 09, 2021","139.78","139.63","140.09","138.71","6.89M","0.05%"
"Apr 08, 2021","139.71","140.45","141.12","139.66","6.37M","-0.06%"
"Apr 07, 2021","139.80","140.30","140.75","139.65","6.79M","-0.21%"
"Apr 06, 2021","140.10","139.11","140.95","138.52","10.35M","0.48%"
"Apr 05, 2021","139.43","136.72","140.16","136.20","13.35M","2.81%"
"Apr 01, 2021","135.62","135.94","136.89","135.33","8.53M","-0.15%"
"Mar 31, 2021","135.83","135.55","136.86","134.96","8.18M","0.07%"
"Mar 30, 2021","135.74","136.33","137.59","135.47","9.08M","-0.68%"
"Mar 29, 2021","136.67","135.00","137.01","134.60","10.05M","1.14%"
"Mar 26, 2021","135.13","134.00","135.20","133.42","9.55M","0.84%"
"Mar 25, 2021","134.01","133.26","134.53","132.87","9.38M","0.68%"
"Mar 24, 2021","133.11","134.43","134.43","133.05","7.85M","-0.62%"
"Mar 23, 2021","133.94","131.71","134.30","131.63","9.72M","1.19%"
"Mar 22, 2021","132.37","131.00","132.45","130.99","8.22M","0.48%"
"Mar 19, 2021","131.74","130.13","132.50","129.90","19.23M","1.33%"
"Mar 18, 2021","130.01","131.16","131.95","129.93","9.94M","-1.72%"
"Mar 17, 2021","132.28","132.50","133.14","131.98","8.05M","-0.83%"
"Mar 16, 2021","133.39","132.82","134.28","132.82","6.63M","-0.03%"
"Mar 15, 2021","133.43","134.74","134.75","132.82","8.37M","-0.51%"
"Mar 12, 2021","134.12","132.52","134.52","132.08","9.48M","1.51%"
"Mar 11, 2021","132.13","133.36","133.49","131.53","11.83M","-0.04%"
"Mar 10, 2021","132.18","128.86","133.05","128.47","14.98M","2.55%"
"Mar 09, 2021","128.89","128.80","129.88","128.32","10.66M","0.79%"
"Mar 08, 2021","127.88","129.33","129.84","127.81","13.66M","-0.96%"
